Pavilion,Module,Item,Sub Item,Requirement,Technical Note,Role Description,Implementation Level,Verified,Urgent,Last Updated,Owner Team,Estimated Resolution Time,Operational Status
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Power drop mapping,Public-facing desk,Update technical note for field team,Simulated note: field observation added for audit traceability.,Field operations lead,Planned,No,No,2026-05-26T17:50,Safety Review,72 hours,On Track
SOFA 2026 Pavilion F - Food Court,Branding Installation,Table and chair setup,Public-facing desk,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Implementation tracker,In Progress,Yes,Yes,2026-04-09T14:43,Infrastructure,43 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Queue Management,Directional signage,Storage corner,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Not Started,Yes,Yes,2026-05-31T05:33,Safety Review,66 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Cable protection,,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Verification reviewer,In Progress,No,No,2026-05-16T20:28,Technical Production,38 hours,Blocked
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Emergency corridor clearance,Zone marker,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Logistics support team,Planned,No,No,2026-05-07T06:30,Operations Control,15 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Branding Installation,Power drop mapping,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Field operations lead,Implemented,No,Yes,2026-04-16T10:36,Safety Review,54 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Queue Management,Credential checkpoint,Zone marker,Align role description with owner team,Simulated note: dependency requires module-level review.,Field operations lead,Planned,No,No,2026-04-06T22:52,Venue Logistics,55 hours,On Track
SOFA 2026 Pavilion E - Retail Corridor,Queue Management,Directional signage,Main aisle,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,No,2026-04-12T08:50,Venue Logistics,63 hours,Blocked
SOFA 2026 Pavilion F - Food Court,Inventory Handoff,Cable protection,Back wall,Update technical note for field team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Planned,No,No,2026-04-26T21:30,Infrastructure,72 hours,Blocked
SOFA 2026 Pavilion G - Auditorium,,Emergency corridor clearance,Public-facing desk,Confirm implementation tracking milestone,Simulated note: pending site confirmation with operations lead.,Field operations lead,Not Started,No,Yes,2026-05-31T18:35,Technical Production,64 hours,At Risk
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Directional signage,Main aisle,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Planned,No,No,2026-06-07T01:11,Technical Production,14 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Credential checkpoint,Storage corner,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Planned,No,No,2026-06-01T06:01,Technical Production,18 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Access Control,Cable protection,Secondary aisle,Update technical note for field team,Simulated note: field observation added for audit traceability.,Logistics support team,Implemented,No,Yes,2026-04-01T10:30,Infrastructure,23 hours,On Track
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Cable protection,Control point,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,No,2026-05-13T12:53,Venue Logistics,48 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Operational briefing,Secondary aisle,Document operational audit evidence,Simulated note: dependency requires module-level review.,Pavilion coordinator,Verified,Yes,No,2026-05-22T05:43,Exhibitor Services,62 hours,Complete
SOFA 2026 Pavilion F - Food Court,Branding Installation,Credential checkpoint,Public-facing desk,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Planned,No,No,2026-06-03T23:02,Technical Production,70 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Access Control,Stand readiness,Main aisle,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,In Progress,Yes,No,2026-06-09T23:11,Technical Production,30 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Stand readiness,,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Verified,Yes,No,2026-04-17T01:55,Technical Production,55 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Inventory Handoff,Credential checkpoint,Main aisle,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Implemented,No,No,2026-04-09T20:53,Infrastructure,3 hours,Pending Verification
SOFA 2026 Pavilion C - Esports Arena,Access Control,Equipment reception,Storage corner,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Verification reviewer,Implemented,No,No,2026-04-15T19:41,Safety Review,34 hours,At Risk
SOFA 2026 Pavilion D - Maker Lab,Inventory Handoff,Equipment reception,Main aisle,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Implementation tracker,Not Started,No,No,2026-04-07T08:00,Safety Review,3 hours,Blocked
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Floor plan validation,Back wall,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Verified,Yes,No,2026-04-27T11:24,Venue Logistics,44 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Operational briefing,Public-facing desk,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Verified,Yes,No,2026-06-10T10:22,Safety Review,53 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Equipment reception,Main aisle,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,No,2026-04-18T17:18,Operations Control,40 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Table and chair setup,Back wall,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Implemented,No,No,2026-04-16T15:41,Technical Production,39 hours,Pending Verification
SOFA 2026 Pavilion B - Artist Alley,Furniture Deployment,Floor plan validation,,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,No,2026-04-20T20:29,Infrastructure,24 hours,Blocked
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Table and chair setup,Storage corner,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Verification reviewer,Implemented,No,No,2026-05-14T00:14,Safety Review,33 hours,At Risk
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Power drop mapping,,Check verification workflow status,Simulated note: field observation added for audit traceability.,Field operations lead,Planned,No,Yes,2026-05-06T23:20,Exhibitor Services,40 hours,Blocked
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Table and chair setup,Secondary aisle,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Implementation tracker,Implemented,Yes,No,2026-05-11T23:39,Infrastructure,55 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Equipment reception,Secondary aisle,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,Not Started,No,No,2026-04-26T14:33,Safety Review,40 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Furniture Deployment,Directional signage,Back wall,Align role description with owner team,Simulated note: no production source connected in this public dataset.,Implementation tracker,In Progress,No,No,2026-05-08T07:26,Safety Review,45 hours,Blocked
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Directional signage,,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Logistics support team,Verified,Yes,No,2026-05-05T18:41,Venue Logistics,18 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Furniture Deployment,Power drop mapping,Back wall,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,In Progress,Yes,No,2026-05-20T06:27,Safety Review,28 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Furniture Deployment,Directional signage,Zone marker,Validate logistics dashboard record consistency,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Verified,Yes,No,2026-04-15T05:33,Safety Review,7 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Furniture Deployment,Power drop mapping,Storage corner,Check verification workflow status,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Verified,Yes,Yes,2026-05-09T15:02,Exhibitor Services,52 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Electrical Layout,Emergency corridor clearance,,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Logistics support team,Planned,No,Yes,2026-04-14T16:02,Venue Logistics,32 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Signal Routing,Credential checkpoint,,Resolve urgent requirement before pavilion handoff,Simulated note: field observation added for audit traceability.,Field operations lead,Verified,Yes,No,2026-06-02T22:32,Safety Review,19 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Electrical Layout,Credential checkpoint,,Validate logistics dashboard record consistency,Simulated note: field observation added for audit traceability.,Verification reviewer,Verified,Yes,No,2026-04-23T07:47,Infrastructure,53 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Furniture Deployment,Cable protection,,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Not Started,No,No,2026-04-17T09:30,Exhibitor Services,16 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Safety Inspection,Emergency corridor clearance,Main aisle,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Implemented,No,No,2026-06-14T22:59,Safety Review,48 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Operational briefing,Control point,Update technical note for field team,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,Yes,2026-05-26T12:54,Safety Review,17 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Credential checkpoint,Storage corner,Validate logistics dashboard record consistency,Simulated note: pending site confirmation with operations lead.,Logistics support team,Implemented,No,No,2026-06-13T04:04,Infrastructure,71 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Furniture Deployment,Operational briefing,Back wall,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,In Progress,Yes,No,2026-06-14T09:23,Operations Control,35 hours,Complete
SOFA 2026 Pavilion F - Food Court,Signal Routing,Emergency corridor clearance,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Verified,Yes,Yes,2026-05-20T20:22,Operations Control,62 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Signal Routing,Cable protection,Control point,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,In Progress,No,Yes,2026-04-19T23:31,Exhibitor Services,63 hours,At Risk
SOFA 2026 Pavilion A - Immersive Experiences,Safety Inspection,Stand readiness,Zone marker,Confirm implementation tracking milestone,Simulated note: dependency requires module-level review.,Pavilion coordinator,Implemented,No,Yes,2026-06-06T23:25,Technical Production,48 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Queue Management,Equipment reception,Secondary aisle,Review sparse hierarchy assignment,Simulated note: field observation added for audit traceability.,Operational audit analyst,In Progress,No,No,2026-04-19T12:16,Technical Production,37 hours,At Risk
SOFA 2026 Pavilion C - Esports Arena,Signal Routing,Equipment reception,Zone marker,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Verification reviewer,Planned,Yes,No,2026-05-07T18:03,Operations Control,68 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Credential checkpoint,Control point,Update technical note for field team,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-04-13T04:04,Exhibitor Services,27 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Equipment reception,Control point,Document operational audit evidence,Simulated note: dependency requires module-level review.,Implementation tracker,Planned,No,No,2026-05-05T09:09,Technical Production,48 hours,On Track
SOFA 2026 Pavilion F - Food Court,Queue Management,Equipment reception,Storage corner,Confirm implementation tracking milestone,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Verified,Yes,No,2026-04-06T21:19,Infrastructure,27 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Queue Management,Stand readiness,Back wall,Update technical note for field team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Verified,Yes,No,2026-04-10T05:29,Venue Logistics,26 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Equipment reception,Zone marker,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,In Progress,No,No,2026-05-16T14:12,Technical Production,15 hours,Pending Verification
SOFA 2026 Pavilion B - Artist Alley,Queue Management,Operational briefing,Back wall,Document operational audit evidence,Simulated note: dependency requires module-level review.,Operational audit analyst,Planned,No,No,2026-06-05T04:12,Venue Logistics,3 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Queue Management,Floor plan validation,Main aisle,Check verification workflow status,Simulated note: field observation added for audit traceability.,Implementation tracker,In Progress,No,Yes,2026-04-07T13:27,Exhibitor Services,37 hours,Blocked
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Equipment reception,Secondary aisle,Align role description with owner team,Simulated note: field observation added for audit traceability.,Pavilion coordinator,Planned,No,No,2026-04-16T12:41,Venue Logistics,53 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Branding Installation,Stand readiness,Control point,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Planned,No,No,2026-05-18T08:37,Exhibitor Services,34 hours,On Track
SOFA 2026 Pavilion F - Food Court,Queue Management,Floor plan validation,Storage corner,Update technical note for field team,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Verified,Yes,Yes,2026-04-25T09:29,Exhibitor Services,46 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Branding Installation,Floor plan validation,Control point,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,No,2026-04-27T00:50,Venue Logistics,42 hours,At Risk
SOFA 2026 Pavilion A - Immersive Experiences,Branding Installation,Floor plan validation,Control point,Align role description with owner team,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,Yes,2026-05-02T02:11,Venue Logistics,17 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Floor plan validation,Secondary aisle,Align role description with owner team,Simulated note: dependency requires module-level review.,Logistics support team,In Progress,No,Yes,2026-06-04T23:14,Technical Production,23 hours,Blocked
SOFA 2026 Pavilion C - Esports Arena,Queue Management,Directional signage,,Align role description with owner team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Verified,Yes,No,2026-05-28T06:17,Operations Control,4 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Queue Management,Power drop mapping,Zone marker,Validate logistics dashboard record consistency,Simulated note: no production source connected in this public dataset.,Operational audit analyst,In Progress,No,Yes,2026-05-25T19:20,Venue Logistics,6 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Queue Management,Power drop mapping,Public-facing desk,Check verification workflow status,Simulated note: field observation added for audit traceability.,Field operations lead,Planned,Yes,No,2026-05-01T09:24,Safety Review,42 hours,Complete
SOFA 2026 Pavilion F - Food Court,Branding Installation,Directional signage,Public-facing desk,Align role description with owner team,Simulated note: dependency requires module-level review.,Operational audit analyst,Verified,Yes,No,2026-05-05T00:23,Operations Control,50 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Branding Installation,Power drop mapping,Storage corner,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Planned,No,Yes,2026-04-06T21:04,Technical Production,28 hours,Pending Verification
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Directional signage,Zone marker,Update technical note for field team,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,Planned,No,No,2026-06-10T05:24,Venue Logistics,11 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Access Control,Table and chair setup,,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,Implemented,No,Yes,2026-05-07T13:33,Safety Review,43 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Access Control,Table and chair setup,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: dependency requires module-level review.,Operational audit analyst,Planned,No,No,2026-04-08T11:23,Operations Control,64 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Directional signage,Main aisle,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Pavilion coordinator,In Progress,No,Yes,2026-05-12T04:35,Exhibitor Services,48 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Inventory Handoff,Credential checkpoint,Secondary aisle,Update technical note for field team,Simulated note: verification can proceed after handoff evidence.,Field operations lead,In Progress,No,No,2026-04-08T21:04,Infrastructure,15 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Access Control,Operational briefing,,Check verification workflow status,Simulated note: pending site confirmation with operations lead.,Logistics support team,In Progress,No,No,2026-06-16T04:31,Technical Production,18 hours,At Risk
SOFA 2026 Pavilion G - Auditorium,Inventory Handoff,Cable protection,Public-facing desk,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Not Started,No,No,2026-05-10T00:07,Technical Production,60 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Stand readiness,Control point,Check verification workflow status,Simulated note: dependency requires module-level review.,Operational audit analyst,Verified,Yes,No,2026-05-02T04:21,Infrastructure,21 hours,Complete
SOFA 2026 Pavilion B - Artist Alley,Inventory Handoff,Emergency corridor clearance,Back wall,Check verification workflow status,Simulated note: dependency requires module-level review.,Logistics support team,In Progress,Yes,No,2026-06-12T04:12,Safety Review,59 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Equipment reception,,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Operational audit analyst,Planned,Yes,No,2026-04-25T04:34,Venue Logistics,37 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Access Control,Stand readiness,Public-facing desk,Confirm implementation tracking milestone,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,No,Yes,2026-05-07T13:04,Venue Logistics,70 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Operational briefing,Zone marker,Document operational audit evidence,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-05-26T03:06,Technical Production,9 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Equipment reception,,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Implemented,No,No,2026-05-25T15:26,Technical Production,38 hours,Blocked
SOFA 2026 Pavilion G - Auditorium,Access Control,Stand readiness,Storage corner,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Pavilion coordinator,Implemented,No,No,2026-05-02T18:59,Exhibitor Services,28 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Access Control,Floor plan validation,Public-facing desk,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,No,2026-05-11T01:46,Technical Production,14 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Access Control,Operational briefing,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Pavilion coordinator,In Progress,No,No,2026-06-13T04:09,Technical Production,27 hours,On Track
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Floor plan validation,Control point,Document operational audit evidence,Simulated note: dependency requires module-level review.,Field operations lead,In Progress,Yes,No,2026-05-18T04:04,Safety Review,30 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Access Control,Operational briefing,Back wall,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Pavilion coordinator,Verified,Yes,No,2026-05-12T07:02,Exhibitor Services,57 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Access Control,Power drop mapping,Control point,Review sparse hierarchy assignment,Simulated note: dependency requires module-level review.,Logistics support team,In Progress,No,No,2026-04-15T05:23,Safety Review,23 hours,Complete
SOFA 2026 Pavilion F - Food Court,Access Control,Power drop mapping,Storage corner,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Verification reviewer,In Progress,No,No,2026-05-28T17:54,Venue Logistics,70 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Electrical Layout,Equipment reception,Control point,Align role description with owner team,Simulated note: no production source connected in this public dataset.,Implementation tracker,Verified,Yes,Yes,2026-05-16T03:48,Venue Logistics,39 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Electrical Layout,Equipment reception,Main aisle,Update technical note for field team,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Planned,No,No,2026-04-08T09:44,Venue Logistics,44 hours,At Risk
SOFA 2026 Pavilion B - Artist Alley,Electrical Layout,Table and chair setup,Storage corner,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Verification reviewer,Implemented,Yes,No,2026-06-13T23:13,Exhibitor Services,9 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Electrical Layout,Table and chair setup,Secondary aisle,Document operational audit evidence,Simulated note: dependency requires module-level review.,Verification reviewer,In Progress,Yes,No,2026-06-08T02:56,Exhibitor Services,24 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Signal Routing,Floor plan validation,Secondary aisle,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Verification reviewer,Verified,Yes,No,2026-05-30T00:17,Exhibitor Services,22 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Furniture Deployment,Directional signage,Back wall,Document operational audit evidence,Simulated note: pending site confirmation with operations lead.,Field operations lead,Implemented,Yes,Yes,2026-04-06T00:43,Technical Production,61 hours,Complete
SOFA 2026 Pavilion F - Food Court,Signal Routing,Power drop mapping,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Implementation tracker,In Progress,No,No,2026-05-14T19:51,Technical Production,36 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Signal Routing,Directional signage,Main aisle,Confirm implementation tracking milestone,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Verified,Yes,No,2026-06-10T22:08,Venue Logistics,68 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,Signal Routing,Directional signage,Storage corner,Align role description with owner team,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,In Progress,No,No,2026-05-31T21:26,Technical Production,18 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Power drop mapping,Main aisle,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Not Started,No,No,2026-04-05T11:50,Exhibitor Services,39 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Signal Routing,Emergency corridor clearance,,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,No,2026-06-12T04:35,Safety Review,56 hours,Pending Verification
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Table and chair setup,Storage corner,Check verification workflow status,Simulated note: dependency requires module-level review.,Pavilion coordinator,Planned,No,No,2026-04-27T02:42,Infrastructure,24 hours,Pending Verification
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Directional signage,Back wall,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,No,2026-04-26T03:39,Safety Review,35 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Furniture Deployment,Operational briefing,Secondary aisle,Confirm implementation tracking milestone,Simulated note: field observation added for audit traceability.,Implementation tracker,Verified,Yes,No,2026-04-03T21:18,Safety Review,47 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Cable protection,Storage corner,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Operational audit analyst,Verified,Yes,No,2026-04-08T16:59,Operations Control,7 hours,Complete
SOFA 2026 Pavilion A - Immersive Experiences,,Cable protection,Back wall,Document operational audit evidence,Simulated note: dependency requires module-level review.,Pavilion coordinator,In Progress,No,No,2026-06-01T05:01,Exhibitor Services,57 hours,On Track
SOFA 2026 Pavilion B - Artist Alley,Signal Routing,Emergency corridor clearance,,Document operational audit evidence,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,Yes,No,2026-04-02T08:32,Operations Control,37 hours,Complete
SOFA 2026 Pavilion C - Esports Arena,Safety Inspection,Emergency corridor clearance,Main aisle,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Logistics support team,Planned,Yes,No,2026-04-06T16:03,Infrastructure,70 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Safety Inspection,Credential checkpoint,Zone marker,Review sparse hierarchy assignment,Simulated note: no production source connected in this public dataset.,Logistics support team,Not Started,No,No,2026-06-02T00:24,Venue Logistics,72 hours,Complete
SOFA 2026 Pavilion E - Retail Corridor,Signal Routing,Credential checkpoint,,Check verification workflow status,Simulated note: dependency requires module-level review.,Verification reviewer,Verified,Yes,No,2026-05-21T10:05,Venue Logistics,3 hours,Complete
SOFA 2026 Pavilion F - Food Court,Queue Management,Stand readiness,Main aisle,Resolve urgent requirement before pavilion handoff,Simulated note: verification can proceed after handoff evidence.,Field operations lead,Not Started,No,Yes,2026-06-15T09:16,Venue Logistics,10 hours,On Track
SOFA 2026 Pavilion G - Auditorium,Queue Management,Credential checkpoint,Main aisle,Check verification workflow status,Simulated note: no production source connected in this public dataset.,Logistics support team,Implemented,No,No,2026-04-16T11:21,Venue Logistics,2 hours,On Track
SOFA 2026 Pavilion A - Immersive Experiences,Queue Management,Equipment reception,,Review sparse hierarchy assignment,Simulated note: verification can proceed after handoff evidence.,Operational audit analyst,Implemented,No,No,2026-05-15T05:10,Exhibitor Services,26 hours,Pending Verification
SOFA 2026 Pavilion B - Artist Alley,Branding Installation,Credential checkpoint,Control point,Check verification workflow status,Simulated note: field observation added for audit traceability.,Field operations lead,Implemented,No,Yes,2026-06-14T18:45,Safety Review,30 hours,Pending Verification
SOFA 2026 Pavilion C - Esports Arena,Queue Management,Operational briefing,Control point,Validate logistics dashboard record consistency,Simulated note: dependency requires module-level review.,Operational audit analyst,Verified,Yes,No,2026-06-04T00:11,Infrastructure,9 hours,Complete
SOFA 2026 Pavilion D - Maker Lab,Branding Installation,Operational briefing,Main aisle,Check verification workflow status,Simulated note: verification can proceed after handoff evidence.,Logistics support team,In Progress,No,Yes,2026-06-05T03:03,Technical Production,14 hours,At Risk
SOFA 2026 Pavilion E - Retail Corridor,Safety Inspection,Power drop mapping,Zone marker,Resolve urgent requirement before pavilion handoff,Simulated note: pending site confirmation with operations lead.,Operational audit analyst,Not Started,No,Yes,2026-05-03T23:02,Exhibitor Services,37 hours,Pending Verification
SOFA 2026 Pavilion F - Food Court,Safety Inspection,Stand readiness,Public-facing desk,Resolve urgent requirement before pavilion handoff,Simulated note: no production source connected in this public dataset.,Logistics support team,Verified,Yes,No,2026-05-05T03:02,Exhibitor Services,54 hours,Complete
SOFA 2026 Pavilion G - Auditorium,Safety Inspection,Power drop mapping,Back wall,Review sparse hierarchy assignment,Simulated note: pending site confirmation with operations lead.,Implementation tracker,Implemented,No,Yes,2026-05-14T00:49,Safety Review,10 hours,Blocked
SOFA 2026 Pavilion A - Immersive Experiences,Inventory Handoff,Floor plan validation,Storage corner,Document operational audit evidence,Simulated note: no production source connected in this public dataset.,Logistics support team,Planned,No,Yes,2026-05-13T18:04,Infrastructure,59 hours,Pending Verification
